Nummer;Name;Land;Plz;Ort;Strasse;Telefon;Bezirk;Freigabe Verband;Freigabe Bezirk;Haftmittel;Bild;;
-150415;KGSE-Halle 1;D;25337;Elmshorn;Hainholzer Damm;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150414;EMTV-Halle;D;25335;Elmshorn;Koppeldamm 1;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150413;Krückaupark;D;25337;Elmshorn;Zum Krückaupark;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150412;BCSG-Halle;D;25335;Elmshorn;Koppeldamm 50;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150411;Olympiahalle;D;25335;Elmshorn;Pestalozzistraße / Ost-West-Brücke;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150403;Heederbrook;D;25355;Barmstedt;Heederbrook;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150402;Barmstedt Halle II;D;25355;Barmstedt;Schulstraße;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150401;Barmstedt;D;25355;Barmstedt;Schulstraße;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150394;Selma-Lagerlöf-Gemeinschaftsschule;D;22926;Ahrensburg;Gorch-Fock-Straße;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150393;Stormarnschule;D;22926;Ahrensburg;Waldstraße 14;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150392;KBS Friedensallee, Ahrensburg;D;22926;Ahrensburg;Friedensallee;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150385;Am Pfeilshof;D;22393;Hamburg;Am Pfeilshof 20;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150384;Grootmoor;D;22175;Hamburg;Am Damm 47;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150383;Höhnkoppelort;D;22179;Hamburg;Höhnkoppelort 24;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150382;Steilshoop N;D;22309;Hamburg;Gropiusring 43;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150381;Steilshoop R;D;22309;Hamburg;Gropiusring 43;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150373;Tessenowweg;D;22297;Hamburg;Tessenowweg 3;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150371;Langenfort;D;22049;Hamburg;Langenfort 5;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150361;Sachsenweg neu;D;22455;Hamburg;Sachsenweg 91;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150360;AMTV-Halle;D;22143;Hamburg;Nienhagener Straße 159;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150359;Birrenkovenallee;D;22143;Hamburg;Birrenkovenallee 12;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
